Title,PubDate,Author,,,,,,,,,,,,,,,,,,,,,
The daughter of a Republican,1900,Babcock Bernie,,,,,,,,,,,,,,,,,,,,,
The duke of Stockbridge,1900,Bellamy Edward,,,,,,,,,,,,,,,,,,,,,
In the palace of the king,1900,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
A friend of Caesar,1900,Davis William Stearns,,,,,,,,,,,,,,,,,,,,,
Sister Carrie,1900,Dreiser Theodore,,,,,,,,,,,,,,,,,,,,,
Wanted: a match maker,1900,Ford Paul Leicester,,,,,,,,,,,,,,,,,,,,,
Crittenden,1900,Fox John,,,,,,,,,,,,,,,,,,,,,
The voice of the people,1900,Glasgow Ellen Anderson Gholson,,,,,,,,,,,,,,,,,,,,,
The redemption of David Corson,1900,Goss Charles Frederic,,,,,,,,,,,,,,,,,,,,,
The circular study,1900,Green Anna Katharine,,,,,,,,,,,,,,,,,,,,,
Way down East,1900,Grismer Joseph Rhode,,,,,,,,,,,,,,,,,,,,,
The web of life,1900,Herrick Robert,,,,,,,,,,,,,,,,,,,,,
To have and to hold,1900,Johnston Mary,,,,,,,,,,,,,,,,,,,,,
With hoops of steel,1900,Kelly Florence Finch,,,,,,,,,,,,,,,,,,,,,
Lords of the North,1900,Laut Agnes C.,,,,,,,,,,,,,,,,,,,,,
A manifest destiny,1900,Magruder Julia,,,,,,,,,,,,,,,,,,,,,
The bread line,1900,Paine Albert Bigelow,,,,,,,,,,,,,,,,,,,,,
Peck's Uncle Ike and the red headed boy,1900,Peck George W.,,,,,,,,,,,,,,,,,,,,,
Quincy Adams Sawyer and Mason's corner folks,1900,Pidgin Charles Felton,,,,,,,,,,,,,,,,,,,,,
Robert Tournay,1900,Sage William,,,,,,,,,,,,,,,,,,,,,
The moon metal,1900,Serviss Garrett Putman,,,,,,,,,,,,,,,,,,,,,
The campaign of the jungle,1900,Stratemeyer Edward,,,,,,,,,,,,,,,,,,,,,
Monsieur Beaucaire,1900,Tarkington Booth,,,,,,,,,,,,,,,,,,,,,
Alice of old Vincennes,1900,Thompson Maurice,,,,,,,,,,,,,,,,,,,,,
Penelope's experiences in Scotland,1900,Wiggin Kate Douglas Smith,,,,,,,,,,,,,,,,,,,,,
The gentle art of cooking wives,1900,Worthington Elizabeth Strong,,,,,,,,,,,,,,,,,,,,,
D'ri and I,1901,Bacheller Irving,,,,,,,,,,,,,,,,,,,,,
Lazarre,1901,Catherwood Mary Hartwell,,,,,,,,,,,,,,,,,,,,,
The marrow of tradition,1901,Chesnutt Charles W.,,,,,,,,,,,,,,,,,,,,,
Marietta,1901,Crawford F. Marion,,,,,,,,,,,,,,,,,,,,,
In the fog,1901,Davis Richard Harding,,,,,,,,,,,,,,,,,,,,,
The portion of labor,1901,Freeman Mary Eleanor Wilkins,,,,,,,,,,,,,,,,,,,,,
Under the skylights,1901,Fuller Henry Blake,,,,,,,,,,,,,,,,,,,,,
Westerfelt,1901,Harben Will N.,,,,,,,,,,,,,,,,,,,,,
Under the redwoods,1901,Harte Bret,,,,,,,,,,,,,,,,,,,,,
The sacred fount,1901,James Henry,,,,,,,,,,,,,,,,,,,,,
The transfiguration of Miss Philura,1901,Kingsley Florence Morse,,,,,,,,,,,,,,,,,,,,,
The puppet crown,1901,MacGrath Harold,,,,,,,,,,,,,,,,,,,,,
Graustark,1901,McCutcheon George Barr,,,,,,,,,,,,,,,,,,,,,
The road to Frontenac,1901,Merwin Samuel,,,,,,,,,,,,,,,,,,,,,
The pines of Lory,1901,Mitchell John Ames,,,,,,,,,,,,,,,,,,,,,
