Title,PubDate,Author,,,,,,,,,,,,,,,,,,,,,
The streets of Ascalon,1912,Chambers Robert W.,,,,,,,,,,,,,,,,,,,,,
Five thousand an hour,1912,Chester George Randolph,,,,,,,,,,,,,,,,,,,,,
Fate knocks at the door,1912,Comfort Will Levington,,,,,,,,,,,,,,,,,,,,,
Flower of the north,1912,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
The melting of Molly,1912,Daviess Maria Thompson,,,,,,,,,,,,,,,,,,,,,
The Red Cross girl,1912,Davis Richard Harding,,,,,,,,,,,,,,,,,,,,,
The white waterfall,1912,Dwyer James Francis,,,,,,,,,,,,,,,,,,,,,
Fran,1912,Ellis John Breckinridge,,,,,,,,,,,,,,,,,,,,,
The Yates pride,1912,Freeman Mary Eleanor Wilkins,,,,,,,,,,,,,,,,,,,,,
The butterfly house,1912,Freeman Mary Eleanor Wilkins,,,,,,,,,,,,,,,,,,,,,
Elkan Lubliner,1912,Glass Montague,,,,,,,,,,,,,,,,,,,,,
Halcyone,1912,Glyn Elinor,,,,,,,,,,,,,,,,,,,,,
The mystery of Mary,1912,Hill Grace Livingston,,,,,,,,,,,,,,,,,,,,,
Philip Dru: administrator,1912,House Edward Mandell,,,,,,,,,,,,,,,,,,,,,
The autobiography of an ex-colored man,1912,Johnson James Weldon,,,,,,,,,,,,,,,,,,,,,
The just and the unjust,1912,Kester Vaughan,,,,,,,,,,,,,,,,,,,,,
The street called Straight,1912,King Basil,,,,,,,,,,,,,,,,,,,,,
The lady and Sada San,1912,Caldwell Fannie,,,,,,,,,,,,,,,,,,,,,
The Lady Doc,1912,Lockhart Caroline,,,,,,,,,,,,,,,,,,,,,
Smoke Bellew,1912,London Jack,,,,,,,,,,,,,,,,,,,,,
Son of the sun,1912,London Jack,,,,,,,,,,,,,,,,,,,,,
The place of honeymoons,1912,MacGrath Harold,,,,,,,,,,,,,,,,,,,,,
The touchstone of fortune,1912,Major Charles,,,,,,,,,,,,,,,,,,,,,
The hollow of her hand,1912,McCutcheon George Barr,,,,,,,,,,,,,,,,,,,,,
The wind before the dawn,1912,Munger Dell H.,,,,,,,,,,,,,,,,,,,,,
A Hoosier chronicle,1912,Nicholson Meredith,,,,,,,,,,,,,,,,,,,,,
The rich Mrs. Burgoyne,1912,Norris Kathleen Thompson,,,,,,,,,,,,,,,,,,,,,
Over the pass,1912,Palmer Frederick,,,,,,,,,,,,,,,,,,,,,
Molly McDonald,1912,Parrish Randall,,,,,,,,,,,,,,,,,,,,,
Mavericks,1912,Raine William MacLeod,,,,,,,,,,,,,,,,,,,,,
A romance of Billy-goat Hill,1912,Rice Alice Caldwell Hegan,,,,,,,,,,,,,,,,,,,,,
Where there's a will,1912,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
The Valiants of Virginia,1912,Rives Hallie Erminie,,,,,,,,,,,,,,,,,,,,,
The wreck of the Titan: or: Futility,1912,Robertson Morgan,,,,,,,,,,,,,,,,,,,,,
Counsel for the defense,1912,Scott Leroy,,,,,,,,,,,,,,,,,,,,,
The coming of the law,1912,Seltzer Charles Alden,,,,,,,,,,,,,,,,,,,,,
When life was young,1912,Stephens C. A.,,,,,,,,,,,,,,,,,,,,,
The destroying angel,1912,Vance Louis Joseph,,,,,,,,,,,,,,,,,,,,,
The sign at six,1912,White Stewart Edward,,,,,,,,,,,,,,,,,,,,,
The white linen nurse,1913,Abbott Eleanor Hallowell,,,,,,,,,,,,,,,,,,,,,
The iron trail,1913,Beach Rex,,,,,,,,,,,,,,,,,,,,,
Seven keys to Baldpate,1913,Biggers Earl Derr,,,,,,,,,,,,,,,,,,,,,
The return of Tarzan,1913,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The gay rebellion,1913,Chambers Robert W.,,,,,,,,,,,,,,,,,,,,,
Isobel,1913,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
Andrew the Glad,1913,Daviess Maria Thompson,,,,,,,,,,,,,,,,,,,,,
The lost road,1913,Davis Richard Harding,,,,,,,,,,,,,,,,,,,,,
Lahoma,1913,Ellis J. Breckenridge,,,,,,,,,,,,,,,,,,,,,
Ruth Fielding of the red mill: or: Jasper Parloe's secret,1913,Emerson Alice B,,,,,,,,,,,,,,,,,,,,,
Roast beef medium,1913,Ferber Edna,,,,,,,,,,,,,,,,,,,,,
The heart of the hills,1913,Fox John,,,,,,,,,,,,,,,,,,,,,
Mothering on Perilous,1913,Furman Lucy S,,,,,,,,,,,,,,,,,,,,,
Virginia,1913,Glasgow Ellen Anderson Gholson,,,,,,,,,,,,,,,,,,,,,
The friendly road,1913,Baker Ray Stannard,,,,,,,,,,,,,,,,,,,,,
The desired woman,1913,Harben Will N.,,,,,,,,,,,,,,,,,,,,,
Lo: Michael!,1913,Hill Grace Livingston,,,,,,,,,,,,,,,,,,,,,
Pages from an old volume of life,1913,Holmes Oliver Wendell,,,,,,,,,,,,,,,,,,,,,
The young Alaskans in the Rockies,1913,Hough Emerson,,,,,,,,,,,,,,,,,,,,,
Murder in any degree,1913,Johnson Owen,,,,,,,,,,,,,,,,,,,,,
The Honorable Senator Sage-brush,1913,Lynde Francis,,,,,,,,,,,,,,,,,,,,,
A fool and his money,1913,McCutcheon George Barr,,,,,,,,,,,,,,,,,,,,,
If you touch them they vanish,1913,Morris Gouverneur,,,,,,,,,,,,,,,,,,,,,
The heart of the desert,1913,McCue Nora Bryant,,,,,,,,,,,,,,,,,,,,,
Otherwise Phyllis,1913,Nicholson Meredith,,,,,,,,,,,,,,,,,,,,,
Pollyanna,1913,Porter Eleanor H.,,,,,,,,,,,,,,,,,,,,,
The custom of the country,1913,Wharton Edith,,,,,,,,,,,,,,,,,,,,,
Bunker Bean,1913,Wilson Harry Leon,,,,,,,,,,,,,,,,,,,,,
Little Eve Edgarton,1914,Abbott Eleanor Hallowell,,,,,,,,,,,,,,,,,,,,,
The auction block,1914,Beach Rex,,,,,,,,,,,,,,,,,,,,,
At the earth's core,1914,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The beasts of Tarzan,1914,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The mad king,1914,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The hidden children,1914,Chambers Robert W.,,,,,,,,,,,,,,,,,,,,,
Kazan,1914,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
Diane of the green van,1914,Dalrymple Leona,,,,,,,,,,,,,,,,,,,,,
The boy scout,1914,Davis Richard Harding,,,,,,,,,,,,,,,,,,,,,
The Titan,1914,Dreiser Theodore,,,,,,,,,,,,,,,,,,,,,
Once to every man,1914,Evans Larry,,,,,,,,,,,,,,,,,,,,,
Sight to the blind,1914,Furman Lucy S,,,,,,,,,,,,,,,,,,,,,
The rustlers of Pecos County,1914,Grey Zane,,,,,,,,,,,,,,,,,,,,,
The man of the desert,1914,Hill Grace Livingston,,,,,,,,,,,,,,,,,,,,,
Just around the corner,1914,Hurst Fannie,,,,,,,,,,,,,,,,,,,,,
Overland Red,1914,Knibbs Henry Herbert,,,,,,,,,,,,,,,,,,,,,
The long chance,1914,Kyne Peter B.,,,,,,,,,,,,,,,,,,,,,
Our Mr. Wrenn,1914,Lewis Sinclair,,,,,,,,,,,,,,,,,,,,,
Kent Knowles: quahaug,1914,Lincoln Joseph Crosby,,,,,,,,,,,,,,,,,,,,,
The mutiny of the Elsinore,1914,London Jack,,,,,,,,,,,,,,,,,,,,,
The adventures of Kathlyn,1914,MacGrath Harold,,,,,,,,,,,,,,,,,,,,,
Winning the wilderness,1914,McCarter Margaret Hill,,,,,,,,,,,,,,,,,,,,,
The Prince of Graustark,1914,McCutcheon George Barr,,,,,,,,,,,,,,,,,,,,,
Vandover and the brute,1914,Norris Frank,,,,,,,,,,,,,,,,,,,,,
The Eskimo twins,1914,Perkins Lucy Fitch,,,,,,,,,,,,,,,,,,,,,
A daughter of the dons,1914,Raine William MacLeod,,,,,,,,,,,,,,,,,,,,,
Bransford in Arcadia: or: the little eohippus,1914,Rhodes Eugene Manlove,,,,,,,,,,,,,,,,,,,,,
The street of seven stars,1914,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
The after house,1914,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
The grain ship,1914,Robertson Morgan,,,,,,,,,,,,,,,,,,,,,
No. 13 Washington Square,1914,Scott Leroy,,,,,,,,,,,,,,,,,,,,,
Dave Porter in the gold fields,1914,Stratemeyer Edward,,,,,,,,,,,,,,,,,,,,,
Penrod,1914,Tarkington Booth,,,,,,,,,,,,,,,,,,,,,
The lone wolf,1914,Vance Louis Joseph,,,,,,,,,,,,,,,,,,,,,
The eyes of the world,1914,Wright Harold Bell,,,,,,,,,,,,,,,,,,,,,
Little Miss Grouch,1915,Adams Samuel Hopkins,,,,,,,,,,,,,,,,,,,,,
The hosts of the air,1915,Altsheler Joseph A.,,,,,,,,,,,,,,,,,,,,,
Forest of swords,1915,Altsheler Joseph A.,,,,,,,,,,,,,,,,,,,,,
The guns of Europe,1915,Altsheler Joseph A.,,,,,,,,,,,,,,,,,,,,,
The rim of the desert,1915,Anderson Ada Woodruff,,,,,,,,,,,,,,,,,,,,,
Heart of the Blue Ridge,1915,Baily Waldron,,,,,,,,,,,,,,,,,,,,,
Heart of the sunset,1915,Beach Rex,,,,,,,,,,,,,,,,,,,,,
The extra day,1915,Blackwood Algernon,,,,,,,,,,,,,,,,,,,,,
Jean of the Lazy A,1915,Bower B. M.,,,,,,,,,,,,,,,,,,,,,
The rivet in grandfather's neck,1915,Cabell James Branch,,,,,,,,,,,,,,,,,,,,,
The song of the lark,1915,Cather Willa,,,,,,,,,,,,,,,,,,,,,
Athalie,1915,Chambers Robert W.,,,,,,,,,,,,,,,,,,,,,
A far country,1915,Churchill Winston,,,,,,,,,,,,,,,,,,,,,
God's country and the woman,1915,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
Over Paradise ridge,1915,Daviess Maria Thompson,,,,,,,,,,,,,,,,,,,,,
Somewhere in France,1915,Davis Richard Harding,,,,,,,,,,,,,,,,,,,,,
The landloper,1915,Day Holman,,,,,,,,,,,,,,,,,,,,,
The foolish virgin,1915,Dixon Thomas,,,,,,,,,,,,,,,,,,,,,
The idyl of Twin Fires,1915,Eaton Walter Prichard,,,,,,,,,,,,,,,,,,,,,
Ruth Fielding on Cliff Island,1915,Emerson Alice B,,,,,,,,,,,,,,,,,,,,,
The air trust,1915,England George Allan,,,,,,,,,,,,,,,,,,,,,
Emma McChesney & co.,1915,Ferber Edna,,,,,,,,,,,,,,,,,,,,,
Fidelity,1915,Glaspell Susan,,,,,,,,,,,,,,,,,,,,,
The competitive nephew,1915,Glass Montague,,,,,,,,,,,,,,,,,,,,,
The perils of Pauline,1915,Goddard Charles,,,,,,,,,,,,,,,,,,,,,
Hempfield,1915,Baker Ray Stannard,,,,,,,,,,,,,,,,,,,,,
The golden slipper,1915,Green Anna Katharine,,,,,,,,,,,,,,,,,,,,,
The rainbow trail,1915,Grey Zane,,,,,,,,,,,,,,,,,,,,,
The Bobbsey twins on a houseboat,1915,Hope Laura Lee,,,,,,,,,,,,,,,,,,,,,
The Coxon fund,1915,James Henry,,,,,,,,,,,,,,,,,,,,,
The altar of the dead,1915,James Henry,,,,,,,,,,,,,,,,,,,,,
The trail of the hawk,1915,Lewis Sinclair,,,,,,,,,,,,,,,,,,,,,
The house of the misty star,1915,Caldwell Fannie,,,,,,,,,,,,,,,,,,,,,
The man from the bitter roots,1915,Lockhart Caroline,,,,,,,,,,,,,,,,,,,,,
The scarlet plague,1915,London Jack,,,,,,,,,,,,,,,,,,,,,
The angels of Mons,1915,Machen Arthur,,,,,,,,,,,,,,,,,,,,,
The great return,1915,Machen Arthur,,,,,,,,,,,,,,,,,,,,,
More Jonathan papers,1915,Morris Elisabeth Woodbridge,,,,,,,,,,,,,,,,,,,,,
Still Jim,1915,McCue Nora Bryant,,,,,,,,,,,,,,,,,,,,,
The story of Julia Page,1915,Norris Kathleen Thompson,,,,,,,,,,,,,,,,,,,,,
Thirty,1915,O'Brien Howard Vincent,,,,,,,,,,,,,,,,,,,,,
Beyond the frontier,1915,Parrish Randall,,,,,,,,,,,,,,,,,,,,,
Pollyanna grows up,1915,Porter Eleanor H.,,,,,,,,,,,,,,,,,,,,,
The Brown Mouse,1915,Quick Herbert,,,,,,,,,,,,,,,,,,,,,
The war terror,1915,Reeve Arthur B.,,,,,,,,,,,,,,,,,,,,,
Shadows of flames,1915,Rives Amelie,,,,,,,,,,,,,,,,,,,,,
The gray dawn,1915,White Stewart Edward,,,,,,,,,,,,,,,,,,,,,
Ruggles of Red Gap,1915,Wilson Harry Leon,,,,,,,,,,,,,,,,,,,,,
The unspeakable perk,1916,Adams Samuel Hopkins,,,,,,,,,,,,,,,,,,,,,
A cathedral singer,1916,Allen James Lane,,,,,,,,,,,,,,,,,,,,,
The Wall street girl,1916,Bartlett Frederick Orin,,,,,,,,,,,,,,,,,,,,,
The agony column,1916,Biggers Earl Derr,,,,,,,,,,,,,,,,,,,,,
People like that,1916,Bosher Kate Langley,,,,,,,,,,,,,,,,,,,,,
The dark tower,1916,Bottome Phyllis,,,,,,,,,,,,,,,,,,,,,
The heritage of the Sioux,1916,Bower B. M.,,,,,,,,,,,,,,,,,,,,,
The phantom herd,1916,Bower B. M.,,,,,,,,,,,,,,,,,,,,,
The hunted woman,1916,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
The grizzly king,1916,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
They of the high trails,1916,Garland Hamlin,,,,,,,,,,,,,,,,,,,,,
Wildfire,1916,Grey Zane,,,,,,,,,,,,,,,,,,,,,
Clover and blue grass,1916,Hall Eliza Calvert,,,,,,,,,,,,,,,,,,,,,
A voice in the wilderness,1916,Hill Grace Livingston,,,,,,,,,,,,,,,,,,,,,
The daughter of the storage,1916,Howells William Dean,,,,,,,,,,,,,,,,,,,,,
Buying a horse,1916,Howells William Dean,,,,,,,,,,,,,,,,,,,,,
Prudence says so,1916,Hueston Ethel,,,,,,,,,,,,,,,,,,,,,
The side of the angels,1916,King Basil,,,,,,,,,,,,,,,,,,,,,
Cappy Ricks,1916,Kyne Peter B.,,,,,,,,,,,,,,,,,,,,,
The little lady of the big house,1916,London Jack,,,,,,,,,,,,,,,,,,,,,
The turtles of Tasman,1916,London Jack,,,,,,,,,,,,,,,,,,,,,
The shepherd of the North,1916,Maher Richard Aumerle,,,,,,,,,,,,,,,,,,,,,
The cruise of the Jasper B,1916,Marquis Don,,,,,,,,,,,,,,,,,,,,,
From the housetops,1916,McCutcheon George Barr,,,,,,,,,,,,,,,,,,,,,
Come out of the kitchen!,1916,Miller Alice Duer,,,,,,,,,,,,,,,,,,,,,
The conquest of America,1916,Moffett Cleveland,,,,,,,,,,,,,,,,,,,,,
The heart of Rachael,1916,Norris Kathleen Thompson,,,,,,,,,,,,,,,,,,,,,
Just David,1916,Porter Eleanor H.,,,,,,,,,,,,,,,,,,,,,
The fifth wheel,1916,Prouty Olive Higgins,,,,,,,,,,,,,,,,,,,,,
Otto of the silver hand,1916,Pyle Howard,,,,,,,,,,,,,,,,,,,,,
The social gangster,1916,Reeve Arthur B.,,,,,,,,,,,,,,,,,,,,,
The desire of the moth,1916,Rhodes Eugene Manlove,,,,,,,,,,,,,,,,,,,,,
Under the country sky,1916,Richmond Grace S.,,,,,,,,,,,,,,,,,,,,,
Tish,1916,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
The hills of Hingham,1916,Sharp Dallas Lore,,,,,,,,,,,,,,,,,,,,,
Carmen Ariza,1916,Stocking Charles Francis,,,,,,,,,,,,,,,,,,,,,
Penrod and Sam,1916,Tarkington Booth,,,,,,,,,,,,,,,,,,,,,
The mysterious stranger,1916,Twain Mark,,,,,,,,,,,,,,,,,,,,,
The real adventure,1916,Webster Henry Kitchell,,,,,,,,,,,,,,,,,,,,,
The Leopard Woman,1916,White Stewart Edward,,,,,,,,,,,,,,,,,,,,,
The romance of a Christmas card,1916,Wiggin Kate Douglas Smith,,,,,,,,,,,,,,,,,,,,,
Somewhere in Red Gap,1916,Wilson Harry Leon,,,,,,,,,,,,,,,,,,,,,
When a man's a man,1916,Wright Harold Bell,,,,,,,,,,,,,,,,,,,,,
The light in the clearing,1917,Bacheller Irving,,,,,,,,,,,,,,,,,,,,,
Mistress Anne,1917,Bailey Temple,,,,,,,,,,,,,,,,,,,,,
Half hours with the Idiot,1917,Bangs John Kendrick,,,,,,,,,,,,,,,,,,,,,
A princess of Mars,1917,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The rise of David Levinsky,1917,Cahan Abraham,,,,,,,,,,,,,,,,,,,,,
Virginia of Elk Creek Valley,1917,Chase Mary Ellen,,,,,,,,,,,,,,,,,,,,,
Baree: son of Kazan,1917,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
Children of the desert,1917,Dodge Louis,,,,,,,,,,,,,,,,,,,,,
The secret witness,1917,Gibbs George,,,,,,,,,,,,,,,,,,,,,
The mystery of the hasty arrow,1917,Green Anna Katharine,,,,,,,,,,,,,,,,,,,,,
The three black Pennys,1917,Hergesheimer Joseph,,,,,,,,,,,,,,,,,,,,,
The broken gate,1917,Hough Emerson,,,,,,,,,,,,,,,,,,,,,
The man next door,1917,Hough Emerson,,,,,,,,,,,,,,,,,,,,,
The high heart,1917,King Basil,,,,,,,,,,,,,,,,,,,,,
Jerry of the islands,1917,London Jack,,,,,,,,,,,,,,,,,,,,,
Michael: brother of Jerry,1917,London Jack,,,,,,,,,,,,,,,,,,,,,
The Indian drum,1917,MacHarg William,,,,,,,,,,,,,,,,,,,,,
Vanguards of the plains,1917,McCarter Margaret Hill,,,,,,,,,,,,,,,,,,,,,
Ladies must live,1917,Miller Alice Duer,,,,,,,,,,,,,,,,,,,,,
Parnassus on wheels,1917,Morley Christopher,,,,,,,,,,,,,,,,,,,,,
Lydia of the pines,1917,McCue Nora Bryant,,,,,,,,,,,,,,,,,,,,,
The madness of May,1917,Nicholson Meredith,,,,,,,,,,,,,,,,,,,,,
Undertow,1917,Norris Kathleen Thompson,,,,,,,,,,,,,,,,,,,,,
Martie: the unconquered,1917,Norris Kathleen Thompson,,,,,,,,,,,,,,,,,,,,,
Slippy McGee,1917,Oemler Marie Conway,,,,,,,,,,,,,,,,,,,,,
Susan Lenox,1917,Phillips David Graham,,,,,,,,,,,,,,,,,,,,,
The Yukon trail,1917,Raine William MacLeod,,,,,,,,,,,,,,,,,,,,,
The treasure train,1917,Reeve Arthur B.,,,,,,,,,,,,,,,,,,,,,
The whistling mother,1917,Richmond Grace S.,,,,,,,,,,,,,,,,,,,,,
The Brown study,1917,Richmond Grace S.,,,,,,,,,,,,,,,,,,,,,
Long live the king!,1917,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
Bab,1917,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
King Coal,1917,Sinclair Upton,,,,,,,,,,,,,,,,,,,,,
The cruise of the dry dock,1917,Stribling T. S.,,,,,,,,,,,,,,,,,,,,,
The white morning,1918,Atherton Gertrude Franklin Horn,,,,,,,,,,,,,,,,,,,,,
The winds of chance,1918,Beach Rex,,,,,,,,,,,,,,,,,,,,,
The garden of survival,1918,Blackwood Algernon,,,,,,,,,,,,,,,,,,,,,
Kitty Canary,1918,Bosher Kate Langley,,,,,,,,,,,,,,,,,,,,,
Skyrider,1918,Bower B. M.,,,,,,,,,,,,,,,,,,,,,
The land that time forgot,1918,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The Oakdale affair,1918,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
Out of time's abyss,1918,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The thunders of silence,1918,Cobb Irvin S.,,,,,,,,,,,,,,,,,,,,,
The courage of Marge O'Doone,1918,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
Cheerful,1918,Ferber Edna,,,,,,,,,,,,,,,,,,,,,
On the stairs,1918,Fuller Henry Blake,,,,,,,,,,,,,,,,,,,,,
Six feet four,1918,Gregory Jackson,,,,,,,,,,,,,,,,,,,,,
The hills of refuge,1918,Harben Will N.,,,,,,,,,,,,,,,,,,,,,
Sixes and sevens.,1918,Henry O.,,,,,,,,,,,,,,,,,,,,,
The jolly corner,1918,James Henry,,,,,,,,,,,,,,,,,,,,,
Foes,1918,Johnston Mary,,,,,,,,,,,,,,,,,,,,,
Valley of the giants,1918,Kyne Peter B.,,,,,,,,,,,,,,,,,,,,,
Pieces of eight,1918,Le Gallienne Richard,,,,,,,,,,,,,,,,,,,,,
Shavings,1918,Lincoln Joseph Crosby,,,,,,,,,,,,,,,,,,,,,
Aliens,1918,McFee William,,,,,,,,,,,,,,,,,,,,,
His second wife,1918,Poole Ernest,,,,,,,,,,,,,,,,,,,,,
Oh: money! money!,1918,Porter Eleanor H.,,,,,,,,,,,,,,,,,,,,,
The amazing interlude,1918,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
A daughter of the land,1918,Stratton-Porter Gene,,,,,,,,,,,,,,,,,,,,,
Dere Mable,1918,Streeter Edward,,,,,,,,,,,,,,,,,,,,,
The magnificent Ambersons,1918,Tarkington Booth,,,,,,,,,,,,,,,,,,,,,
Vicky Van,1918,Wells Carolyn,,,,,,,,,,,,,,,,,,,,,
The unwilling vestal,1918,White Edward Lucas,,,,,,,,,,,,,,,,,,,,,
The martial adventures of Henry and me,1918,White William Allen,,,,,,,,,,,,,,,,,,,,,
In the heart of a fool,1918,White William Allen,,,,,,,,,,,,,,,,,,,,,
Joy in the morning,1919,Andrews Mary Raymond Shipman,,,,,,,,,,,,,,,,,,,,,
Rezanov,1919,Atherton Gertrude Franklin Horn,,,,,,,,,,,,,,,,,,,,,
A man for the ages,1919,Bacheller Irving,,,,,,,,,,,,,,,,,,,,,
The magic of Oz,1919,Baum L. Frank,,,,,,,,,,,,,,,,,,,,,
Miss Maitland: private secretary,1919,Bonner Geraldine,,,,,,,,,,,,,,,,,,,,,
Rim o' the world,1919,Bower B. M.,,,,,,,,,,,,,,,,,,,,,
The warlord of Mars,1919,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
The branding iron,1919,Burt Katharine Newlin,,,,,,,,,,,,,,,,,,,,,
Jurgen,1919,Cabell James Branch,,,,,,,,,,,,,,,,,,,,,
The crimson tide,1919,Chambers Robert W.,,,,,,,,,,,,,,,,,,,,,
In secret,1919,Chambers Robert W.,,,,,,,,,,,,,,,,,,,,,
The life of the party,1919,Cobb Irvin S.,,,,,,,,,,,,,,,,,,,,,
Nomads of the North,1919,Curwood James Oliver,,,,,,,,,,,,,,,,,,,,,
Blue-grass and Broadway,1919,Daviess Maria Thompson,,,,,,,,,,,,,,,,,,,,,
Potash and Perlmutter settle things,1919,Glass Montague,,,,,,,,,,,,,,,,,,,,,
The bells of San Juan,1919,Gregory Jackson,,,,,,,,,,,,,,,,,,,,,
The desert of wheat,1919,Grey Zane,,,,,,,,,,,,,,,,,,,,,
The cottage of delight,1919,Harben Will N.,,,,,,,,,,,,,,,,,,,,,
Linda Condon,1919,Hergesheimer Joseph,,,,,,,,,,,,,,,,,,,,,
The cup of fury,1919,Hughes Rupert,,,,,,,,,,,,,,,,,,,,,
Humoresque,1919,Hurst Fannie,,,,,,,,,,,,,,,,,,,,,
The old Gray homestead,1919,Keyes Frances Parkinson,,,,,,,,,,,,,,,,,,,,,
The ridin' kid from Powder River,1919,Knibbs Henry Herbert,,,,,,,,,,,,,,,,,,,,,
Captain Scraggs,1919,Kyne Peter B.,,,,,,,,,,,,,,,,,,,,,
On the Makaloa mat,1919,London Jack,,,,,,,,,,,,,,,,,,,,,
The moon pool,1919,Merritt Abraham,,,,,,,,,,,,,,,,,,,,,
The haunted bookshop,1919,Morley Christopher,,,,,,,,,,,,,,,,,,,,,
Lady Larkspur,1919,Nicholson Meredith,,,,,,,,,,,,,,,,,,,,,
Sisters,1919,Norris Kathleen Thompson,,,,,,,,,,,,,,,,,,,,,
A woman named Smith,1919,Oemler Marie Conway,,,,,,,,,,,,,,,,,,,,,
Dwellers in Arcady,1919,Paine Albert Bigelow,,,,,,,,,,,,,,,,,,,,,
The Paliser case,1919,Saltus Edgar,,,,,,,,,,,,,,,,,,,,,
Jimmie Higgins,1919,Sinclair Upton,,,,,,,,,,,,,,,,,,,,,
Same old Bill: eh Mable!,1919,Streeter Edward,,,,,,,,,,,,,,,,,,,,,
Ramsey Milholland,1919,Tarkington Booth,,,,,,,,,,,,,,,,,,,,,
The curious Republic of Gondour: and other whimsical sketches,1919,Twain Mark,,,,,,,,,,,,,,,,,,,,,
The broken soldier and the maid of France,1919,Van Dyke Henry,,,,,,,,,,,,,,,,,,,,,
All the brothers were valiant,1919,Williams Ben Ames,,,,,,,,,,,,,,,,,,,,,
The re-creation of Brian Kent,1919,Wright Harold Bell,,,,,,,,,,,,,,,,,,,,,
The trumpeter swan,1920,Bailey Temple,,,,,,,,,,,,,,,,,,,,,
The night horseman,1920,Faust Frederick Schiller,,,,,,,,,,,,,,,,,,,,,
Bowser the hound,1920,Burgess Thornton W.,,,,,,,,,,,,,,,,,,,,,
Tarzan the untamed,1920,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
Thuvia: maid of Mars,1920,Burroughs Edgar Rice,,,,,,,,,,,,,,,,,,,,,
Hidden Creek,1920,Burt Katharine Newlin,,,,,,,,,,,,,,,,,,,,,
Domnei,1920,Cabell James Branch,,,,,,,,,,,,,,,,,,,,,
The certain hour,1920,Cabell James Branch,,,,,,,,,,,,,,,,,,,,,
Youth and the bright Medusa,1920,Cather Willa,,,,,,,,,,,,,,,,,,,,,
From place to place,1920,Cobb Irvin S.,,,,,,,,,,,,,,,,,,,,,
Son of power,1920,Comfort Will Levington,,,,,,,,,,,,,,,,,,,,,
A little maid of old Maine,1920,Curtis Alice Turner,,,,,,,,,,,,,,,,,,,,,
This simian world,1920,Day Clarence,,,,,,,,,,,,,,,,,,,,,
The blood red dawn,1920,Dobie Charles Caldwell,,,,,,,,,,,,,,,,,,,,,
Flappers and philosophers,1920,Fitzgerald F. Scott,,,,,,,,,,,,,,,,,,,,,
Cloudy Jewel,1920,Hill Grace Livingston,,,,,,,,,,,,,,,,,,,,,
Exit Betty,1920,Hill Grace Livingston,,,,,,,,,,,,,,,,,,,,,
Kindred of the dust,1920,Kyne Peter B.,,,,,,,,,,,,,,,,,,,,,
Main Street,1920,Lewis Sinclair,,,,,,,,,,,,,,,,,,,,,
The Portygee,1920,Lincoln Joseph Crosby,,,,,,,,,,,,,,,,,,,,,
The drums of jeopardy,1920,MacGrath Harold,,,,,,,,,,,,,,,,,,,,,
Mitch Miller,1920,Masters Edgar Lee,,,,,,,,,,,,,,,,,,,,,
West wind drift,1920,McCutcheon George Barr,,,,,,,,,,,,,,,,,,,,,
The beauty and the bolshevist,1920,Miller Alice Duer,,,,,,,,,,,,,,,,,,,,,
Kathleen,1920,Morley Christopher,,,,,,,,,,,,,,,,,,,,,
Harriet and the piper,1920,Norris Kathleen Thompson,,,,,,,,,,,,,,,,,,,,,
The purple heights,1920,Oemler Marie Conway,,,,,,,,,,,,,,,,,,,,,
Mary Marie,1920,Porter Eleanor H.,,,,,,,,,,,,,,,,,,,,,
Oh: you Tex!,1920,Raine William MacLeod,,,,,,,,,,,,,,,,,,,,,
A poor wise man,1920,Rinehart Mary Roberts,,,,,,,,,,,,,,,,,,,,,
Leerie,1920,Sawyer Ruth,,,,,,,,,,,,,,,,,,,,,
Rescuing the Czar,1920,Smythe James P,,,,,,,,,,,,,,,,,,,,,
